Viewer URL,Margot URL
https://rosetest.library.jhu.edu/dlmm/#rose/Sainte-Genevieve1126/117v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/paris-bibliotheque-sainte-genevieve-ms-1126-1350-1360/paris-bibliotheque-sainte-genevieve-ms-1126-fol-117v-1350
https://rosetest.library.jhu.edu/dlmm/#rose/Sainte-Genevieve1126/139r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/paris-bibliotheque-sainte-genevieve-ms-1126-1350-1360/paris-bibliotheque-sainte-genevieve-ms-1126-fol-139r-1350
https://rosetest.library.jhu.edu/dlmm/#rose/Sainte-Genevieve1126/139r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/paris-bibliotheque-sainte-genevieve-ms-1126-1350-1360/paris-bibliotheque-sainte-genevieve-ms-1126-fol-139r2-1350
https://rosetest.library.jhu.edu/dlmm/#rose/Sainte-Genevieve1126/139v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/paris-bibliotheque-sainte-genevieve-ms-1126-1350-1360/paris-bibliotheque-sainte-genevieve-ms-1126-fol-139v-1350
https://rosetest.library.jhu.edu/dlmm/#rose/Sainte-Genevieve1126/140r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/paris-bibliotheque-sainte-genevieve-ms-1126-1350-1360/paris-bibliotheque-sainte-genevieve-ms-1126-fol-140r-1350
https://rosetest.library.jhu.edu/dlmm/#rose/Sainte-Genevieve1126/154v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/paris-bibliotheque-sainte-genevieve-ms-1126-1350-1360/paris-bibliotheque-sainte-genevieve-ms-1126-fol-154v-1350
https://rosetest.library.jhu.edu/dlmm/#rose/MontpellierH245/058r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/bibliotheque-interuniversitaire-section-medecine-universite/bibliotheque-interuniversitaire-section-medecine-universite
https://rosetest.library.jhu.edu/dlmm/#rose/MontpellierH245/067v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/bibliotheque-interuniversitaire-section-medecine-universite/bibliotheque-interuniversitaire-section-medecine-universite-0
https://rosetest.library.jhu.edu/dlmm/#rose/MontpellierH245/078r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/bibliotheque-interuniversitaire-section-medecine-universite/bibliotheque-interuniversitaire-section-medecine-universite-1
https://rosetest.library.jhu.edu/dlmm/#rose/MontpellierH245/101v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/bibliotheque-interuniversitaire-section-medecine-universite/bibliotheque-interuniversitaire-section-medecine-universite-2
https://rosetest.library.jhu.edu/dlmm/#rose/MontpellierH245/117v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/bibliotheque-interuniversitaire-section-medecine-universite/bibliotheque-interuniversitaire-section-medecine-universite-3
